Title,Equipment,Level,Type_Cardio,Type_Strength,BodyPart_Abdominals,BodyPart_Abductors,BodyPart_Adductors,BodyPart_Biceps,BodyPart_Calves,BodyPart_Chest,BodyPart_Forearms,BodyPart_Glutes,BodyPart_Hamstrings,BodyPart_Lats,BodyPart_Lower Back,BodyPart_Middle Back,BodyPart_Neck,BodyPart_Quadriceps,BodyPart_Shoulders,BodyPart_Traps,BodyPart_Triceps
FYR2 Kettlebell Hike,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Kettlebell Cross-Body Catch,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Kettlebell Duck Walk,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Kettlebell Get-Up Reach,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Kettlebell Juggle,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Squat-Clean-Alternating-Press Complex,Kettlebells,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell V-Sit Cross Jab,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell spell caster,Dumbbell,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell side bend,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell crunch,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Fix Dumbbell Sprawl,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Fix Alternating Renegade Row,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Fix Dumbbell Mountain Climber,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Fix Dumbbell Russian Twist,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Fix Dumbbell Pull-Over,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Fix Dumbbell Sit-Up,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Fix Dumbbell Front Squat,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Fix Full Man Maker,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell T-hold,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell hollow-body floor press,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell crusher,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Crunch - Gethin Variation,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-arm dumbbell crunch,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM Alternating Dumbbell Plank Row,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell straight-legged hip raise,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated leg tuck with dumbbell,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell V-sit cross jab-,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Hanging Leg Raise With Dumbbell,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbbell Get-Up Sit-Up,Dumbbell,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Right Side Plank with Left Triceps Press,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Left Side Plank with Right Triceps Press,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Boat with Feet Push-Out and Overhead Press,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Hovering Plank Row,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Seated Killer Abs to Russian Twist,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Straight Plank Dumbbell Reach-Under,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Straight-Arm Side Plank Overhead Press to Chest Press,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Burpee to Pike,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Straight-Legged Boat Chest Press,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Burpee to Side Delt Raise,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Heavy Double Pike,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Heavy Double Split Pike,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Alternating Dumbbell Sit-Through,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Alternating Plank Row With Push-Up,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Dumbbell Russian Twist,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Dumbbell Toe-Touch,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Plank To Alternating Row,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing dumbbell knee crunch-,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetaBurn Plank With Dumbbell Rotation,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Dumbbell Crab Reach,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Dumbbell Man-Maker,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Dumbbell Sit-Up Reach,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Loaded Beast Sprawl,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR2 Loaded to Unloaded Beast,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying Leg Pullover,Dumbbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landmine twist,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suspended ab fall-out,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decline reverse crunch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate Twist,Other,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weighted Crunches,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Roller,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otis-Up,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain's chair knee raise,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sledgehammer swing,Other,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decline bar press sit-up,Barbell,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pallof press,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weighted Sit-Ups - With Bands,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suitcase crunch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FYR Rope Jumping,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbell press sit-up,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-arm bent-over rear delt fly,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain's chair leg raise,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoulder-Elevated One-Leg Hip Thrusts,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Twist - Gethin Variation,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weighted Crunch - Gethin Variation,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Wheel Roll-Out - Gethin Variation,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bench crunch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decline plate sit-up twist,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse ab roll-out,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Seated Twist With PVC Pipe,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suspended crunch-,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suspended oblique crunch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weighted sit-up,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Decline Press Sit-Up,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Towel Reverse Plank Alternating Heel Pull-in,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Boat with Weighted Cross Punch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Hook Punch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Traveling Punch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Uppercut Punch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Slow Weighted Double Pike,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Plate Straight Plank Reach,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Plate Elbow Plank Jack to Straight Plank Jack,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Plate Hill Climber,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Plate Reverse Plank Hill Climber,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Plate Straight Plank Pike to Jack,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Plate In-and-Out Push-Up,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Plate Burpee,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Plate Elbow Plank Reach,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Elbow Plank to Renegade Row,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Straight Plank Weighted Hand Hill Climber,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Left Side Diagonal Pike,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Right Side Diagonal Pike,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted W-Boat to Overhead Press,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Kneeling Lift,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Hips-Up Weighted Pull-Over,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Cross Punch,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Straight-Leg Boat Hover Chest Press,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Pike,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Feet-Elevated Wax-On Wax-Off,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Elbow Plank to Towel Pike,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Seated Killer Abs Overhead Press,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Straight Plank Alternating Weighted Open,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Killer Abs with Overhead Press,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Weighted Split-Leg Pike,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holman Towel Reverse Plank Heel Pull-in,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stick Twist,Other,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roc Everest,Other,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing cable low-to-high twist,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-arm high-cable side bend,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kneeling cable oblique crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kneeling cable crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rope Crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing cable crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosu Ball Cable Crunch With Side Bends,Cable,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Cable Wood Chop,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable reverse crunch,Cable,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable Russian Twists,Cable,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pallof press with rotation,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable Seated Crunch,Cable,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable Judo Flip,Cable,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exercise Ball Cable Crunch - Gethin Variation,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing cable high-to-low twist,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bent-Over Reverse Cable Fly,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing Cable Crunch - Gethin Variation,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Cable Crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Holt Weighted Knee-To-Chest Crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standing cable twist,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Cable Rope Crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Cable Rope Oblique Crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cable lying twist on ball,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Cable Pallof Press,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Cable Reverse Crunch On Ball,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 Cable Reverse Crunch,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Holt Cable Torso Twist,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single-Arm Cable Outward-Facing Biceps Curl,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biceps Rope Curl,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kneeling Cable Crunches,Cable,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Crunch Machine,Machine,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith machine straight-legged hip raise,Machine,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine crunch,Machine,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM Ab Machine,Machine,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith machine V-up,Machine,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elbow plank,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottoms Up,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider crawl,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocoons,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross-Body Crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elbow-to-knee crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decline Crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanging toes-to-bar,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanging Oblique Knee Raise,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorilla Chin/Crunch,Body Only,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanging leg raise,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain climber,Body Only,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab bicycle,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4 sit-up,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reverse crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crunches,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead bug reach,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crunch - Hands Overhead,Body Only,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V-up,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomach Vacuum,Body Only,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian twist,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flat Bench Lying Leg Raise,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knees tucked crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butt-Ups,Body Only,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feet-elevated oblique crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bent-knee reverse crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternating heel-touch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suspended Reverse Crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying bench reverse crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sit-up,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Side Bridge,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lying oblique crunch,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Janda Sit-Up,Body Only,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leg Pull-In,Body Only,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Side Jackknife,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scissor Kick,Body Only,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toe Touchers,Body Only,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Back Curl,Body Only,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exercise ball torso rotation,Body Only,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Overhead Stretch,Body Only,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overhead Stretch,Body Only,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seated Scissor Kick,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Partner resistance standing twist,Body Only,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross Crunch,Body Only,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Moon,Body Only,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
